type,contextLevel,sentence
"Paper Work","Light Context","บริษัทแฟชั่นต้องการเปิดตัวสินค้าใหม่และอยากได้ press release ที่เน้นสรุปจุดเด่นของสินค้าและ reasoning เทรนด์แฟชั่น ช่วยเขียนให้หน่อย"
"Paper Work","Light Context","ทีมงานต้องการ proposal ความร่วมมือกับบริษัทเทคโนโลยี โดยขอให้มีส่วนของ caption generation สำหรับ awareness campaign ด้วย"
"Paper Work","Light Context","บริษัทอสังหาฯ กำลังวางแผน simulation role play เปิดตัวโครงการใหม่ อยากได้เอกสารประชาสัมพันธ์ที่เน้นจุดขาย"
"Paper Work","Light Context","ขอเอกสารสรุปผลการประชุมที่มีทั้ง trending campaign และเหตุผลในการเลือกช่องทางการตลาด"
"Paper Work","Light Context","บริษัทอาหารต้องการ proposal สำหรับ partnership กับ influencer โดยขอ reasoning จุดขายของสินค้า"
"Paper Work","Light Context","ร้านอาหารใหม่ต้องการ press release ที่มีทั้งสรุปและ caption สั้นๆ สำหรับ awareness campaign"
"Paper Work","Light Context","ขอ proposal สำหรับจัดกิจกรรม simulation role play เพื่อเสริมสร้าง engagement ในแคมเปญใหม่"
"Paper Work","Light Context","บริษัทเทคโนโลยีต้องการเอกสารประชาสัมพันธ์เปิดตัวแอปใหม่โดยเน้นเทรนด์ reasoning"
"Paper Work","Light Context","แบรนด์สุขภาพต้องการ proposal สำหรับความร่วมมือกับโรงพยาบาล โดยขอให้มีสรุปจุดเด่นของแคมเปญ"
"Paper Work","Light Context","ขอ press release สำหรับเปิดตัวคอร์สเรียนออนไลน์ที่มี caption generation เป็นจุดเด่น"
"Paper Work","Light Context","บริษัทอสังหาฯ ต้องการ proposal สำหรับ partnership กับโรงเรียนและขอ reasoning จุดขาย"
"Paper Work","Light Context","ขอเอกสารสรุปผลประชุมเกี่ยวกับการวางแผน marketing ที่เน้น simulation role play"
"Paper Work","Light Context","ร้านอาหารต้องการ press release สำหรับเมนูใหม่ที่มีเทรนด์ caption generation"
"Paper Work","Light Context","ขอ proposal สำหรับแคมเปญ awareness ที่ต้องมี simulation role play ในงานเปิดตัว"
"Paper Work","Light Context","บริษัทแฟชั่นต้องการเอกสารประชาสัมพันธ์เปิดตัวสินค้าใหม่ที่มี reasoning เทรนด์แฟชั่น"
"Paper Work","Light Context","ขอ proposal สำหรับความร่วมมือจัด event ที่มี trending caption generation"
"Paper Work","Light Context","บริษัทเทคโนโลยีต้องการ press release สำหรับ gadget ใหม่ที่ต้องพรีเซนต์ในกิจกรรม role play"
"Paper Work","Light Context","ขอเอกสารสรุปผลการประชุมเกี่ยวกับการวางแผน marketing และ caption generation"
"Paper Work","Light Context","บริษัทอสังหาฯ ต้องการ proposal สำหรับ partnership กับ influencer ที่เน้น simulation role play"
"Paper Work","Light Context","ร้านอาหารต้องการ press release สำหรับแคมเปญใหม่ที่มี reasoning และ caption generation"
"Paper Work","Full Context","บริษัทแฟชั่นจะเปิดตัวคอลเลกชันใหม่โดยมีการจัด simulation role play ในงานเปิดตัว ต้องการ press release ที่สรุปจุดเด่นของสินค้า มี reasoning และ caption generation สำหรับโปรโมท ช่วยเขียนให้หน่อย"
"Paper Work","Full Context","บริษัทเทคโนโลยีต้องการ proposal สำหรับ partnership กับ influencer โดยต้องมีส่วนที่สรุปเทรนด์ reasoning และเน้น awareness campaign ผ่าน caption generation"
"Paper Work","Full Context","ร้านอาหารใหม่จะจัด event เปิดตัวเมนูใหม่โดยมีการจำลองสถานการณ์ (simulation role play) ในงาน ต้องการเอกสารประชาสัมพันธ์ที่เน้นจุดเด่นของเมนูและ reasoning เทรนด์อาหาร"
"Paper Work","Full Context","บริษัทอสังหาฯ กำลังวางแผนเปิดตัวโครงการใหม่ โดยมีการจัด simulation role play และต้องการ proposal สำหรับขอความร่วมมือกับโรงเรียนที่มี reasoning จุดเด่นของโครงการ"
"Paper Work","Full Context","ทีมงานต้องการ press release สำหรับเปิดตัวแอปใหม่ที่เน้นเทรนด์ caption generation และ reasoning จุดขายของแอปเพื่อ awareness campaign"
"Paper Work","Full Context","บริษัทสุขภาพจะเปิดตัวสินค้าใหม่ในงานที่มี simulation role play และต้องการ proposal สำหรับ partnership กับโรงพยาบาลโดยขอ reasoning จุดเด่นของสินค้า"
"Paper Work","Full Context","ร้านอาหารต้องการเอกสารประชาสัมพันธ์สำหรับ event เปิดตัวเมนูใหม่ที่มี trending caption generation และ reasoning จุดขาย"
"Paper Work","Full Context","บริษัทแฟชั่นจะจัด simulation role play ในงานเปิดตัวสินค้าใหม่ ต้องการ proposal สำหรับ partnership กับ influencer ที่เน้น awareness campaign"
"Paper Work","Full Context","ขอ press release สำหรับเปิดตัวคอร์สเรียนออนไลน์ที่มี simulation role play และ reasoning จุดเด่นของคอร์ส"
"Paper Work","Full Context","บริษัทเทคโนโลยีต้องการ proposal สำหรับกิจกรรม simulation role play ที่จะจัดในงานเปิดตัว gadget ใหม่ พร้อม reasoning จุดขาย"
"Paper Work","Full Context","บริษัทอสังหาฯ จะเปิดตัวบ้านเดี่ยวใหม่โดยมี simulation role play ในงาน ต้องการเอกสารประชาสัมพันธ์ที่มี caption generation และ reasoning จุดเด่น"
"Paper Work","Full Context","ทีมงานต้องการ proposal สำหรับ partnership กับบริษัทแฟชั่น โดยขอ reasoning จุดขายและ trending caption generation"
"Paper Work","Full Context","ร้านอาหารจะจัด simulation role play ในงานเปิดตัวเมนูใหม่ ต้องการ press release ที่เน้น reasoning จุดขายและ awareness"
"Paper Work","Full Context","บริษัทสุขภาพจะเปิดตัวสินค้าใหม่ในงานที่มี simulation role play ต้องการ proposal สำหรับ partnership กับ influencer ที่เน้น caption generation"
"Paper Work","Full Context","บริษัทเทคโนโลยีต้องการเอกสารประชาสัมพันธ์สำหรับเปิดตัวแอปใหม่ที่มี simulation role play และ reasoning"
"Paper Work","Full Context","บริษัทอสังหาฯ จะเปิดตัวโครงการใหม่โดยมี simulation role play ในงาน ต้องการ proposal สำหรับ partnership กับโรงเรียนที่เน้น awareness campaign"
"Paper Work","Full Context","ร้านอาหารต้องการ press release สำหรับเปิดตัวเมนูใหม่ที่มี trending caption generation และ reasoning จุดเด่น"
"Paper Work","Full Context","บริษัทแฟชั่นจะจัด simulation role play ในงานเปิดตัวสินค้าใหม่ ต้องการ proposal สำหรับ partnership กับ influencer ที่เน้น reasoning"
"Paper Work","Full Context","ขอเอกสารประชาสัมพันธ์สำหรับเปิดตัวคอร์สเรียนออนไลน์ที่มี simulation role play และ reasoning จุดเด่นของคอร์ส"
"Paper Work","Full Context","บริษัทเทคโนโลยีต้องการ proposal สำหรับกิจกรรม simulation role play ที่จะจัดในงานเปิดตัว gadget ใหม่ พร้อม reasoning จุดขาย"
"Summary","Without Context","สรุปประเด็นสำคัญจาก press release การเปิดตัวสินค้าใหม่ที่มี caption generation โดดเด่น"
"Summary","Without Context","ช่วยสรุปเนื้อหาหลักของ proposal ความร่วมมือกับ influencer ที่เน้น reasoning"
"Summary","Without Context","สรุปบทสนทนาใน simulation role play ที่เกี่ยวกับ marketing planning"
"Summary","Without Context","ช่วยสรุปเทรนด์ใหม่ๆ จากการประชุมที่มีการพูดถึง awareness campaign"
"Summary","Without Context","สรุปไอเดีย caption generation จากเอกสารประชาสัมพันธ์สินค้าแฟชั่น"
"Summary","Without Context","ช่วยสรุปแผน marketing ที่มีการใช้ trending campaign และ reasoning"
"Summary","Without Context","สรุปเนื้อหาหลักของ press release เปิดตัวโครงการบ้านเดี่ยว"
"Summary","Without Context","ช่วยสรุปบทบาทใน simulation role play ที่เกี่ยวข้องกับการวางแผนกลยุทธ์"
"Summary","Without Context","สรุปข้อดีข้อเสียจาก proposal ความร่วมมือกับบริษัทเทคโนโลยี"
"Summary","Without Context","ช่วยสรุปเนื้อหาหลักจากเอกสาร marketing planning ที่มี trending caption"
"Summary","Without Context","สรุปประเด็นหลักจาก press release เปิดตัวแอปใหม่ที่ใช้ reasoning"
"Summary","Without Context","ช่วยสรุปเนื้อหา proposal สำหรับ campaign awareness ที่มี simulation role play"
"Summary","Without Context","สรุปข้อเสนอจากเอกสาร partnership ที่เน้น caption generation"
"Summary","Without Context","ช่วยสรุปเทรนด์ caption generation จากการประชุมทีม marketing"
"Summary","Without Context","สรุปสาระสำคัญจาก press release เปิดตัวสินค้าใหม่ในงาน simulation role play"
"Summary","Without Context","ช่วยสรุปเนื้อหาหลักของ proposal สำหรับกิจกรรม trending campaign"
"Summary","Without Context","สรุปข้อดีของการใช้ simulation role play ใน marketing planning"
"Summary","Without Context","ช่วยสรุปเนื้อหา proposal สำหรับ partnership กับโรงเรียน"
"Summary","Without Context","สรุปประเด็นสำคัญจาก press release เปิดตัวบ้านเดี่ยวที่เน้น reasoning"
"Summary","Without Context","ช่วยสรุปเนื้อหาหลักของ proposal สำหรับ awareness campaign"
"Summary","Light Context","บริษัทแฟชั่นจัดประชุมเรื่องการเปิดตัวคอลเลกชันใหม่โดยมี simulation role play และ caption generation ช่วยสรุปประเด็นสำคัญ"
"Summary","Light Context","ทีมงานกำลังวางแผน partnership กับ influencer สำหรับ trending campaign ช่วยสรุปเนื้อหาหลักของ proposal"
"Summary","Light Context","บริษัทอสังหาฯ มี press release เปิดตัวโครงการใหม่ที่เน้น reasoning และ caption generation ช่วยสรุปใจความ"
"Summary","Light Context","ร้านอาหารจัด simulation role play ในงานเปิดตัวเมนูใหม่ ช่วยสรุปบทบาทและประเด็นสำคัญ"
"Summary","Light Context","บริษัทเทคโนโลยีมี proposal ความร่วมมือกับโรงเรียนที่เน้น awareness campaign ช่วยสรุปข้อเสนอหลัก"
"Summary","Light Context","ทีม marketing ได้ประชุมเรื่องการใช้ caption generation ใน trending campaign ช่วยสรุปเนื้อหาหลัก"
"Summary","Light Context","บริษัทแฟชั่นมี press release เปิดตัวสินค้าใหม่โดยเน้น reasoning ช่วยสรุปสาระสำคัญ"
"Summary","Light Context","ร้านอาหารมี proposal สำหรับ partnership กับ influencer ช่วยสรุปจุดเด่นของข้อเสนอ"
"Summary","Light Context","บริษัทอสังหาฯ มี simulation role play ใน marketing planning ช่วยสรุปบทบาทที่สำคัญ"
"Summary","Light Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน press release ช่วยสรุปเนื้อหา"
"Summary","Light Context","บริษัทเทคโนโลยีมี proposal สำหรับ awareness campaign ช่วยสรุปข้อดีข้อเสีย"
"Summary","Light Context","ร้านอาหารจัด simulation role play เพื่อโปรโมทเมนูใหม่ ช่วยสรุปประเด็นหลัก"
"Summary","Light Context","บริษัทแฟชั่นมี press release สำหรับคอลเลกชันใหม่ ช่วยสรุปเนื้อหาหลัก"
"Summary","Light Context","ทีมงานประชุมเรื่อง trending campaign ช่วยสรุปไอเดียสำคัญ"
"Summary","Light Context","บริษัทอสังหาฯ มี proposal ความร่วมมือกับ influencer ช่วยสรุปเนื้อหาหลัก"
"Summary","Light Context","ร้านอาหารมี simulation role play ใน awareness campaign ช่วยสรุปบทบาทสำคัญ"
"Summary","Light Context","บริษัทเทคโนโลยีมี press release เปิดตัว gadget ใหม่ ช่วยสรุปสาระสำคัญ"
"Summary","Light Context","ทีมงาน marketing วางแผน caption generation สำหรับ trending campaign ช่วยสรุปเนื้อหา"
"Summary","Light Context","บริษัทแฟชั่นมี proposal สำหรับ partnership กับ influencer ช่วยสรุปข้อเสนอหลัก"
"Summary","Light Context","ร้านอาหารมี simulation role play เพื่อโปรโมทเมนูใหม่ ช่วยสรุปประเด็นสำคัญ"
"Summary","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และมี simulation role play ในงาน ทีมงานอยากได้สรุปประเด็นสำคัญทั้งหมด"
"Summary","Full Context","บริษัทเทคโนโลยีวางแผน partnership กับ influencer สำหรับ awareness campaign โดยมี proposal ที่เน้น caption generation สรุปข้อดีข้อเสียของข้อเสนอนี้"
"Summary","Full Context","ร้านอาหารจัด simulation role play ในงานเปิดตัวเมนูใหม่ มี press release และ proposal ร่วมกับโรงเรียน ช่วยสรุปบทบาทและเนื้อหาหลัก"
"Summary","Full Context","บริษัทอสังหาฯ เปิดตัวบ้านเดี่ยวใหม่โดยมี press release ที่เน้น reasoning และ proposal partnership กับ influencer สรุปสาระสำคัญ"
"Summary","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี simulation role play ช่วยสรุปประเด็นสำคัญ"
"Summary","Full Context","บริษัทแฟชั่นมี press release สำหรับสินค้าใหม่และ proposal ความร่วมมือกับ influencer ช่วยสรุปเนื้อหาหลัก"
"Summary","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วยสรุปบทบาทและเนื้อหาสำคัญ"
"Summary","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วยสรุปข้อดีข้อเสีย"
"Summary","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วยสรุปเนื้อหาหลัก"
"Summary","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วยสรุปประเด็นสำคัญ"
"Summary","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และ proposal สำหรับ partnership ช่วยสรุปสาระสำคัญ"
"Summary","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วยสรุปบทบาทและเนื้อหาสำคัญ"
"Summary","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วยสรุปข้อดีข้อเสีย"
"Summary","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วยสรุปเนื้อหาหลัก"
"Summary","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วยสรุปประเด็นสำคัญ"
"Summary","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และ proposal สำหรับ partnership ช่วยสรุปสาระสำคัญ"
"Summary","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วยสรุปบทบาทและเนื้อหาสำคัญ"
"Summary","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วยสรุปข้อดีข้อเสีย"
"Summary","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วยสรุปเนื้อหาหลัก"
"Summary","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วยสรุปประเด็นสำคัญ"
"Paraphrase","Without Context","ช่วยเขียนประโยคใหม่ให้มีความหมายเหมือนกับ press release การเปิดตัวสินค้าใหม่"
"Paraphrase","Without Context","เปลี่ยนข้อความใน proposal ความร่วมมือกับ influencer ให้อ่านง่ายขึ้น"
"Paraphrase","Without Context","ช่วย paraphrase สรุปเนื้อหา simulation role play ใน marketing planning"
"Paraphrase","Without Context","เขียนใหม่ให้ความหมายเหมือนกับ trending campaign awareness"
"Paraphrase","Without Context","ช่วย paraphrase ไอเดีย caption generation จากเอกสารประชาสัมพันธ์"
"Paraphrase","Without Context","เปลี่ยนเนื้อหา proposal สำหรับ partnership กับบริษัทเทคโนโลยีให้อ่านง่ายขึ้น"
"Paraphrase","Without Context","ช่วย paraphrase ข้อดีข้อเสียจาก reasoning ใน press release"
"Paraphrase","Without Context","เขียนใหม่ให้ความหมายเหมือนกับเนื้อหาหลักของ simulation role play"
"Paraphrase","Without Context","ช่วย paraphrase ข้อเสนอใน proposal สำหรับ awareness campaign"
"Paraphrase","Without Context","เปลี่ยนเนื้อหา press release เปิดตัวบ้านเดี่ยวใหม่ให้อ่านง่ายขึ้น"
"Paraphrase","Without Context","ช่วย paraphrase ข้อดีข้อเสียจาก proposal ความร่วมมือกับ influencer"
"Paraphrase","Without Context","เขียนใหม่ให้ความหมายเหมือนกับข้อสรุปจาก simulation role play"
"Paraphrase","Without Context","ช่วย paraphrase เนื้อหา press release สำหรับแคมเปญใหม่"
"Paraphrase","Without Context","เปลี่ยนข้อความใน proposal สำหรับกิจกรรม trending campaign"
"Paraphrase","Without Context","ช่วย paraphrase ข้อดีของการใช้ simulation role play ใน marketing planning"
"Paraphrase","Without Context","เขียนใหม่ให้ความหมายเหมือนกับข้อเสนอใน proposal สำหรับ partnership กับโรงเรียน"
"Paraphrase","Without Context","ช่วย paraphrase ข้อดีข้อเสียจาก press release เปิดตัวบ้านเดี่ยวที่เน้น reasoning"
"Paraphrase","Without Context","เปลี่ยนเนื้อหา proposal สำหรับ awareness campaign ให้อ่านง่ายขึ้น"
"Paraphrase","Without Context","ช่วย paraphrase ข้อดีข้อเสียจาก proposal สำหรับ partnership กับ influencer"
"Paraphrase","Without Context","เขียนใหม่ให้ความหมายเหมือนกับข้อสรุปจาก press release เปิดตัวแอปใหม่"
"Paraphrase","Light Context","บริษัทแฟชั่นต้องการให้ช่วย rewrite ข้อความใน press release เปิดตัวคอลเลกชันใหม่ที่มี simulation role play และ caption generation"
"Paraphrase","Light Context","ทีมงานขอให้ปรับเนื้อหาใน proposal ความร่วมมือกับ influencer สำหรับ trending campaign ให้อ่านง่ายขึ้น"
"Paraphrase","Light Context","บริษัทอสังหาฯ มี press release เปิดตัวโครงการใหม่ที่เน้น reasoning และ caption generation ช่วย paraphrase ข้อความ"
"Paraphrase","Light Context","ร้านอาหารมี simulation role play ในงานเปิดตัวเมนูใหม่ อยากให้ช่วย rewrite บทบาทและประเด็นสำคัญ"
"Paraphrase","Light Context","บริษัทเทคโนโลยีมี proposal ความร่วมมือกับโรงเรียนที่เน้น awareness campaign ช่วย paraphrase ข้อเสนอหลัก"
"Paraphrase","Light Context","ทีม marketing ได้ประชุมเรื่องการใช้ caption generation ใน trending campaign ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Light Context","บริษัทแฟชั่นมี press release เปิดตัวสินค้าใหม่โดยเน้น reasoning ช่วย paraphrase สาระสำคัญ"
"Paraphrase","Light Context","ร้านอาหารมี proposal สำหรับ partnership กับ influencer ช่วย paraphrase จุดเด่นของข้อเสนอ"
"Paraphrase","Light Context","บริษัทอสังหาฯ มี simulation role play ใน marketing planning ช่วย rewrite บทบาทที่สำคัญ"
"Paraphrase","Light Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน press release ช่วย paraphrase เนื้อหา"
"Paraphrase","Light Context","บริษัทเทคโนโลยีมี proposal สำหรับ awareness campaign ช่วย rewrite ข้อดีข้อเสีย"
"Paraphrase","Light Context","ร้านอาหารจัด simulation role play เพื่อโปรโมทเมนูใหม่ ช่วย paraphrase ประเด็นหลัก"
"Paraphrase","Light Context","บริษัทแฟชั่นมี press release สำหรับคอลเลกชันใหม่ ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Light Context","ทีมงานประชุมเรื่อง trending campaign ช่วย paraphrase ไอเดียสำคัญ"
"Paraphrase","Light Context","บริษัทอสังหาฯ มี proposal ความร่วมมือกับ influencer ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Light Context","ร้านอาหารมี simulation role play ใน awareness campaign ช่วย paraphrase บทบาทสำคัญ"
"Paraphrase","Light Context","บริษัทเทคโนโลยีมี press release เปิดตัว gadget ใหม่ ช่วย paraphrase สาระสำคัญ"
"Paraphrase","Light Context","ทีมงาน marketing วางแผน caption generation สำหรับ trending campaign ช่วย rewrite เนื้อหา"
"Paraphrase","Light Context","บริษัทแฟชั่นมี proposal สำหรับ partnership กับ influencer ช่วย paraphrase ข้อเสนอหลัก"
"Paraphrase","Light Context","ร้านอาหารมี simulation role play เพื่อโปรโมทเมนูใหม่ ช่วย rewrite ประเด็นสำคัญ"
"Paraphrase","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และมี simulation role play ในงาน ทีมงานอยากให้ช่วย rewrite ข้อความสำคัญทั้งหมด"
"Paraphrase","Full Context","บริษัทเทคโนโลยีวางแผน partnership กับ influencer สำหรับ awareness campaign โดยมี proposal ที่เน้น caption generation ช่วย paraphrase ข้อดีข้อเสีย"
"Paraphrase","Full Context","ร้านอาหารจัด simulation role play ในงานเปิดตัวเมนูใหม่ มี press release และ proposal ร่วมกับโรงเรียน ช่วย rewrite บทบาทและเนื้อหาหลัก"
"Paraphrase","Full Context","บริษัทอสังหาฯ เปิดตัวบ้านเดี่ยวใหม่โดยมี press release ที่เน้น reasoning และ proposal partnership กับ influencer ช่วย rewrite สาระสำคัญ"
"Paraphrase","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี simulation role play ช่วย paraphrase ประเด็นสำคัญ"
"Paraphrase","Full Context","บริษัทแฟชั่นมี press release สำหรับสินค้าใหม่และ proposal ความร่วมมือกับ influencer ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วย rewrite บทบาทและเนื้อหาสำคัญ"
"Paraphrase","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วย paraphrase ข้อดีข้อเสีย"
"Paraphrase","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วย paraphrase ประเด็นสำคัญ"
"Paraphrase","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และ proposal สำหรับ partnership ช่วย rewrite สาระสำคัญ"
"Paraphrase","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วย rewrite บทบาทและเนื้อหาสำคัญ"
"Paraphrase","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วย paraphrase ข้อดีข้อเสีย"
"Paraphrase","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วย paraphrase ประเด็นสำคัญ"
"Paraphrase","Full Context","บริษัทแฟชั่นเปิดตัวคอลเลกชันใหม่ มี press release เน้น reasoning และ proposal สำหรับ partnership ช่วย rewrite สาระสำคัญ"
"Paraphrase","Full Context","ร้านอาหารจัด simulation role play ในงาน awareness campaign มี press release และ proposal ช่วย rewrite บทบาทและเนื้อหาสำคัญ"
"Paraphrase","Full Context","บริษัทเทคโนโลยีมี proposal สำหรับ partnership กับโรงเรียน มี press release เปิดตัวแอปใหม่ ช่วย paraphrase ข้อดีข้อเสีย"
"Paraphrase","Full Context","บริษัทอสังหาฯ มี press release สำหรับเปิดตัวโครงการใหม่ มี simulation role play ในงาน ช่วย rewrite เนื้อหาหลัก"
"Paraphrase","Full Context","ทีมงานประชุมเรื่องการใช้ caption generation ใน trending campaign มี proposal partnership กับ influencer ช่วย paraphrase ประเด็นสำคัญ"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นผู้บริหารบริษัทแฟชั่น กำลังพูดในงานเปิดตัวคอลเลกชันใหม่ที่มี press release และ caption generation"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็น influencer ที่ได้รับ proposal ความร่วมมือใน trending campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นลูกค้าบ้านเดี่ยวใหม่ที่ได้รับ press release และ reasoning จุดเด่น"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นเจ้าของร้านอาหารที่ต้องเตรียมเอกสารประชาสัมพันธ์สำหรับ awareness campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักวางแผน marketing ที่ต้องสรุปเทรนด์ caption generation ในทีม"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นผู้บริหารบริษัทเทคโนโลยีที่ต้องนำเสนอ proposal สำหรับ partnership"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักการตลาดที่ต้องสรุปข้อดีข้อเสียของ press release สำหรับสินค้าใหม่"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นลูกค้าโรงเรียนที่ได้รับ proposal สำหรับ awareness campaign"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็น influencer ที่ได้รับข้อเสนอ partnership จากบริษัทแฟชั่น"
"Simulation Role Play as a Character","Without Context","ลองจำลองบทบาทเป็นผู้บริหารร้านอาหารที่ต้องจัด simulation role play ในงานเปิดตัวเมนูใหม่"
"Simulation Role Play as a Character","Without Context","สมมติว่าคุณเป็นนักวางแผน marketing ที่ต้อง rewrite ข้อความใน press release"
"Simulation Role Play as a Character","Without Context","ลองเล่นบทบาทเป็นลูกค้าอสังหาฯ ที่ได้รับ press release บ้านเดี่ยวใหม่"
