Type,Context Type,Question
Summary,Without Context,Provide a summary of this influencer collaboration.
Summary,Without Context,Summarize this customer journey map.
Summary,Without Context,Condense this press release into a few sentences.
Summary,Without Context,Summarize the main points from this focus group.
Summary,Without Context,Provide a quick overview of this marketing budget.
Summary,Without Context,Summarize this product review roundup.
Summary,Without Context,Give a concise summary of this training webinar.
Summary,Without Context,Condense this partnership proposal into key benefits.
Summary,Without Context,Summarize this event’s attendee feedback.
Summary,Without Context,Provide an overview of this email campaign’s performance.
Summary,Without Context,Summarize this marketing funnel analysis.
Summary,Without Context,Condense this annual marketing report into key takeaways.
Summary,Without Context,Provide a summary of this radio ad campaign.
Summary,Without Context,Summarize the results of this print advertising effort.
Summary,Without Context,Give a brief overview of this loyalty program’s performance.
Summary,Without Context,Summarize this product launch timeline.
Summary,Without Context,Condense this sponsorship proposal into a summary.
Summary,Without Context,Summarize this quarterly sales report from a marketing perspective.
Summary,Without Context,Provide a summary of this new customer onboarding process.
Summary,Light Context,We ran a Facebook ad campaign for two weeks. Summarize the results.
Summary,Light Context,Our team held a brainstorming session for a new brand slogan. Summarize the key ideas discussed.
Summary,Light Context,We received 50 survey responses about our new app feature. Provide a summary of the main feedback.
Summary,Light Context,Our CEO gave a 10-minute speech at a conference. Summarize the main points.
Summary,Light Context,We posted a video on LinkedIn about our sustainability efforts. Summarize the key takeaways.
Summary,Light Context,We launched a print ad in several magazines. Summarize the public’s reaction.
Summary,Light Context,Our marketing team attended an industry expo. Summarize the networking outcomes.
Summary,Light Context,We sent a product sample to influencers. Summarize their feedback.
Summary,Light Context,We ran a radio ad for a month. Summarize listener responses.
Summary,Light Context,Our agency completed a client rebranding project. Summarize the process and results.
Summary,Light Context,We hosted a Twitter chat about digital marketing. Summarize the main discussion points.
Summary,Light Context,We launched a new loyalty program. Summarize initial customer reactions.
Summary,Light Context,We organized a charity auction. Summarize the event outcomes.
Summary,Light Context,We posted a series of Instagram stories. Summarize the engagement metrics.
Summary,Light Context,We surveyed customers about our new packaging. Summarize their opinions.
Summary,Light Context,We ran a YouTube ad campaign. Summarize the viewership data.
Summary,Light Context,We conducted a focus group for a new product. Summarize the participants’ feedback.
Summary,Light Context,We introduced a chatbot on our website. Summarize user reactions.
Summary,Light Context,We held a training session for our sales team. Summarize the key learnings.
Summary,Light Context,We launched a referral program. Summarize customer participation rates.
Summary,Light Context,We ran a holiday-themed promotion. Summarize the sales impact.
Summary,Light Context,We conducted a competitive review of three main rivals. Summarize their marketing strengths.
Summary,Light Context,We released a new app update. Summarize user reviews from the app store.
Summary,Light Context,We launched a TikTok campaign. Summarize the reach and engagement.
Summary,Light Context,We sent a feedback survey after a webinar. Summarize the main responses.
Summary,Light Context,We trialed a direct mail campaign. Summarize the response rate and feedback.
Summary,Light Context,We ran a series of email A/B tests. Summarize the key findings.
Summary,Light Context,We introduced a new checkout process. Summarize customer feedback.
Summary,Light Context,We released a whitepaper on industry trends. Summarize the main insights.
Summary,Full Context,Our company launched a multi-channel campaign for a new skincare product, including influencer partnerships, email blasts, and in-store promotions. Summarize the overall performance and customer reception across all channels.
Summary,Full Context,We hosted a three-day virtual summit with guest speakers and interactive workshops. Summarize attendee engagement, feedback, and the most popular sessions.
Summary,Full Context,Our restaurant chain received a mix of positive and negative reviews after launching a new menu item. Summarize the main points from customer reviews and highlight any recurring suggestions.
Summary,Full Context,We conducted a competitive analysis of five major brands in the athletic wear industry. Summarize their unique selling points, marketing tactics, and market positioning.
Summary,Full Context,Our nonprofit ran a fundraising campaign across email, social, and local events. Summarize the campaign’s reach, funds raised, and lessons learned for future efforts.
Summary,Full Context,We organized a pop-up shop in three cities to test a new product line. Summarize sales performance, customer feedback, and logistical challenges.
Summary,Full Context,Our agency completed a full rebranding for a financial services client, including logo, messaging, and website. Summarize the process, timeline, and client response.
Summary,Full Context,We piloted a subscription box service for pet owners. Summarize subscriber growth, retention rates, and customer testimonials.
Summary,Full Context,We ran a summer ad campaign for a beverage brand across TV, radio, and social media. Summarize the campaign’s reach, engagement, and sales impact.
Summary,Full Context,Our team launched an educational webinar series for small business owners. Summarize registration numbers, attendee feedback, and follow-up actions.
Summary,Full Context,We conducted a brand perception survey with 1,000 respondents. Summarize the key findings and areas for improvement.
Summary,Full Context,We ran a holiday contest on Instagram and Facebook. Summarize participation rates, user-generated content, and brand sentiment.
Summary,Full Context,Our hotel chain offered a limited-time loyalty bonus. Summarize the increase in bookings and customer feedback.
Summary,Full Context,We rolled out a new packaging design for our snack products. Summarize retailer and end-customer responses.
Summary,Full Context,Our agency managed a crisis communication campaign for a client facing negative press. Summarize the steps taken and outcomes.
Summary,Full Context,We launched a series of how-to videos for our software product. Summarize viewer engagement and support ticket trends.
Summary,Full Context,Our fashion brand collaborated with a celebrity for a capsule collection. Summarize media coverage and sales performance.
Summary,Full Context,We hosted a charity golf tournament. Summarize sponsor involvement, funds raised, and attendee feedback.
Summary,Full Context,We tested a new pop-up ad format on our website. Summarize user interactions and any impact on bounce rate.
Summary,Full Context,Our startup introduced a referral program for beta users. Summarize referral rates and user feedback.
Summary,Full Context,We launched a multi-week content series on LinkedIn. Summarize impressions, engagement, and lead generation outcomes.
Summary,Full Context,Our non-profit coordinated a city-wide clean-up event. Summarize media coverage, volunteer turnout, and social media mentions.
Summary,Full Context,We introduced a new pricing model for our SaaS platform. Summarize customer reactions and churn rates.
Summary,Full Context,Our travel agency ran a campaign targeting retirees. Summarize booking trends and feedback from the target audience.
Summary,Full Context,We organized a local art exhibit sponsored by our brand. Summarize artist participation, visitor numbers, and press coverage.
Summary,Full Context,We launched a podcast featuring industry leaders. Summarize listener growth, reviews, and notable guest appearances.
Summary,Full Context,Our agency managed a cross-border campaign for a global client. Summarize regional differences in performance and feedback.
Summary,Full Context,We piloted a loyalty app in select stores. Summarize user adoption and technical feedback.
Summary,Full Context,We ran a B2B lead generation campaign using LinkedIn ads and webinars. Summarize lead quality and conversion rates.
Paraphrase,Without Context,Rewrite this product description to make it more engaging.
Paraphrase,Without Context,Reword this email to sound more professional.
Paraphrase,Without Context,Make this social media post more humorous.
Paraphrase,Without Context,Paraphrase this event invitation for a younger audience.
Paraphrase,Without Context,Rephrase this customer testimonial for use in an ad.
Paraphrase,Without Context,Rewrite this press release for a casual tone.
Paraphrase,Without Context,Make this blog introduction more concise.
Paraphrase,Without Context,Paraphrase this influencer’s quote for a corporate audience.
Paraphrase,Without Context,Rewrite this apology letter to sound more empathetic.
Paraphrase,Without Context,Reword this Facebook ad to be more persuasive.
Paraphrase,Without Context,Rewrite this call-to-action for a print flyer.
Paraphrase,Without Context,Paraphrase this slogan for a different demographic.
Paraphrase,Without Context,Make this email subject line more compelling.
Paraphrase,Without Context,Rewrite this product review for a magazine article.
Paraphrase,Without Context,Reword this contest announcement for clarity.
Paraphrase,Without Context,Paraphrase this FAQ answer to be more user-friendly.
Paraphrase,Without Context,Rewrite this customer service script for a chatbot.
Paraphrase,Without Context,Make this event summary more exciting.
Paraphrase,Without Context,Paraphrase this marketing tip for beginners.
Paraphrase,Without Context,Rewrite this thank-you note for a formal setting.
Paraphrase,Without Context,Reword this Instagram caption for a lighthearted tone.
Paraphrase,Without Context,Paraphrase this press release for a trade journal.
Paraphrase,Without Context,Rewrite this LinkedIn update to target job seekers.
Paraphrase,Without Context,Make this about-us page more approachable.
Paraphrase,Without Context,Reword this product launch email for a VIP audience.
Paraphrase,Without Context,Paraphrase this brand mission statement for a brochure.
Paraphrase,Without Context,Rewrite this customer feedback for an internal report.
Paraphrase,Without Context,Make this newsletter headline more attention-grabbing.
Paraphrase,Without Context,Reword this survey invitation for higher response rates.
Paraphrase,Light Context,We have a formal press release about our new app. Paraphrase it for a casual blog post.
Paraphrase,Light Context,Our email to clients sounds too technical. Rewrite it in simpler language.
Paraphrase,Light Context,This ad copy feels generic. Make it more creative and catchy.
Paraphrase,Light Context,Our website’s about page is too long. Paraphrase it into a concise summary.
Paraphrase,Light Context,We want to reuse a customer review in our Instagram story. Paraphrase it to fit the platform’s tone.
Paraphrase,Light Context,Our product video script is too formal. Rewrite it for a friendly, conversational style.
Paraphrase,Light Context,We have a humorous tweet. Paraphrase it for a professional LinkedIn post.
Paraphrase,Light Context,Our event invitation is wordy. Rewrite it for clarity and impact.
Paraphrase,Light Context,We want a more positive tone in our customer service reply. Paraphrase accordingly.
Paraphrase,Light Context,Our new ad slogan is too long. Rewrite it to be short and memorable.
Paraphrase,Light Context,The FAQ answer is too technical. Paraphrase it for non-expert customers.
Paraphrase,Light Context,Our apology email is too brief. Rewrite it to sound more sincere.
Paraphrase,Light Context,The blog intro is dull. Paraphrase it to be more engaging.
Paraphrase,Light Context,Our call-to-action is too aggressive. Paraphrase it to be more inviting.
Paraphrase,Light Context,The contest rules are complicated. Rewrite them for clarity.
Paraphrase,Light Context,Our press release uses too much jargon. Paraphrase it for a general audience.
Paraphrase,Light Context,The testimonial is too formal. Rewrite it for a casual review site.
Paraphrase,Light Context,Our email subject is bland. Paraphrase it to boost open rates.
Paraphrase,Light Context,The product description is repetitive. Rewrite it for variety.
Paraphrase,Light Context,Our event summary is too long. Paraphrase it into a short update.
Paraphrase,Light Context,The sales pitch is too pushy. Rewrite it for a softer approach.
Paraphrase,Light Context,Our survey invitation is dull. Paraphrase it to sound more exciting.
Paraphrase,Light Context,The social media post is unclear. Rewrite it for better understanding.
Paraphrase,Light Context,The newsletter intro is too corporate. Paraphrase it for a friendly tone.
Paraphrase,Light Context,Our campaign update is too technical. Rewrite it for a wider audience.
Paraphrase,Light Context,The brand story is too long. Paraphrase it for a short video script.
Paraphrase,Light Context,Our chatbot greeting is boring. Paraphrase it to be more welcoming.
Paraphrase,Light Context,The thank-you letter is too formal. Rewrite it for a casual audience.
Paraphrase,Full Context,We wrote a detailed product guide for our new kitchen appliance. Paraphrase the key instructions into a friendly, easy-to-follow checklist for first-time users.
Paraphrase,Full Context,Our annual report contains a lot of industry jargon. Paraphrase the executive summary so it’s understandable for non-experts and potential investors.
Paraphrase,Full Context,We have a formal apology letter drafted for a shipment error. Paraphrase it to sound more empathetic and customer-focused, while still maintaining professionalism.
Paraphrase,Full Context,Our event invitation email is very wordy. Paraphrase it into a short, punchy message for SMS.
Paraphrase,Full Context,We created a technical product FAQ. Paraphrase the answers for use on social media, making them approachable and engaging.
Paraphrase,Full Context,Our CEO’s announcement about a company merger is too formal. Paraphrase it for an internal staff newsletter in a positive, conversational tone.
Paraphrase,Full Context,We have a legal disclaimer on our website. Paraphrase it so customers can easily understand the main points without legalese.
Paraphrase,Full Context,The campaign results report is dense and data-heavy. Paraphrase the findings as a visually engaging infographic summary.
Paraphrase,Full Context,Our influencer sent a long testimonial. Paraphrase it into a short quote for an ad.
Paraphrase,Full Context,We have a detailed email about a new loyalty program. Paraphrase it for a social media post.
Paraphrase,Full Context,Our user manual is too technical for beginners. Paraphrase the setup section into plain language.
Paraphrase,Full Context,The thank-you letter for event sponsors is too generic. Paraphrase it to highlight specific contributions and make it more personal.
Paraphrase,Full Context,Our product launch press release is lengthy. Paraphrase it into a short pitch for journalists.
Paraphrase,Full Context,The customer service script is stiff. Paraphrase it for a friendly chatbot experience.
Paraphrase,Full Context,Our investor update email is packed with numbers. Paraphrase it for a quick executive summary.
Paraphrase,Full Context,The brand story is written for adults. Paraphrase it for a children’s audience in a fun, simple way.
Paraphrase,Full Context,Our webinar invitation is formal. Paraphrase it for a playful social media post.
Paraphrase,Full Context,The product description is optimized for SEO. Paraphrase it for a print brochure.
Paraphrase,Full Context,Our marketing plan summary is too high-level. Paraphrase it to include specific action steps.
Paraphrase,Full Context,Our campaign apology is too generic. Paraphrase it to address the customer’s specific complaint.
Paraphrase,Full Context,The press release is full of buzzwords. Paraphrase it for a skeptical journalist.
Paraphrase,Full Context,Our team update email is too detailed. Paraphrase it into key bullet points for a meeting.
Paraphrase,Full Context,The product recall notice is alarming. Paraphrase it to be reassuring but clear.
Paraphrase,Full Context,Our annual report is formal. Paraphrase the highlights for a social media carousel.
Paraphrase,Full Context,The brand mission statement is abstract. Paraphrase it for a recruitment ad.
Paraphrase,Full Context,The influencer campaign summary is technical. Paraphrase it for a client presentation.
Paraphrase,Full Context,The event sponsorship proposal is lengthy. Paraphrase it for a quick elevator pitch.
Paraphrase,Full Context,Our customer satisfaction survey invitation is wordy. Paraphrase it for a push notification.
Simulation Role Play as a Character,Without Context,Act as a customer asking about a product return policy.
Simulation Role Play as a Character,Without Context,Role-play as a client giving feedback on a campaign.
Simulation Role Play as a Character,Without Context,Pretend to be a boss requesting a marketing report.
Simulation Role Play as a Character,Without Context,Act as an influencer negotiating a brand deal.
Simulation Role Play as a Character,Without Context,Role-play as a competitor asking about your pricing.
Simulation Role Play as a Character,Without Context,Act as a journalist inquiring about your new launch.
Simulation Role Play as a Character,Without Context,Role-play as a customer complaining about shipping delays.
Simulation Role Play as a Character,Without Context,Act as a satisfied client providing a testimonial.
Simulation Role Play as a Character,Without Context,Role-play as a new hire asking about marketing strategy.
Simulation Role Play as a Character,Without Context,Act as a retail partner asking for promotional materials.
Simulation Role Play as a Character,Without Context,Role-play as a CEO asking for a campaign update.
Simulation Role Play as a Character,Without Context,Act as a customer interested in a loyalty program.
Simulation Role Play as a Character,Without Context,Role-play as a sales rep requesting product info.
Simulation Role Play as a Character,Without Context,Act as a blogger seeking a media kit.
Simulation Role Play as a Character,Without Context,Role-play as a competitor complimenting your ad.
Simulation Role Play as a Character,Without Context,Act as a customer asking about eco-friendly packaging.
Simulation Role Play as a Character,Without Context,Role-play as a sponsor asking for event results.
Simulation Role Play as a Character,Without Context,Act as a team member suggesting a new campaign idea.
Simulation Role Play as a Character,Without Context,Role-play as a customer requesting a bulk order discount.
Simulation Role Play as a Character,Without Context,Act as a client asking for a campaign timeline.
Simulation Role Play as a Character,Without Context,Role-play as a social media follower asking about a giveaway.
Simulation Role Play as a Character,Without Context,Act as a journalist seeking a product sample.
Simulation Role Play as a Character,Without Context,Role-play as a customer asking for a store location.
Simulation Role Play as a Character,Without Context,Act as a distributor asking about exclusive rights.
Simulation Role Play as a Character,Without Context,Role-play as a partner requesting a co-branded event.
Simulation Role Play as a Character,Without Context,Act as a customer asking for a student discount.
Simulation Role Play as a Character,Without Context,Role-play as a blogger asking for affiliate links.
Simulation Role Play as a Character,Without Context,Act as a customer asking about product customization.
Simulation Role Play as a Character,Without Context,Role-play as a competitor asking about your market share.
Simulation Role Play as a Character,Without Context,Act as a client requesting a campaign budget breakdown.
Simulation Role Play as a Character,Light Context,You are a customer who just received the wrong item in your online order. Ask the company how to resolve the issue.
Simulation Role Play as a Character,Light Context,You are a client who is unhappy with the results of a recent ad campaign. Express your concerns and ask for next steps.
Simulation Role Play as a Character,Light Context,You are a boss who needs a weekly progress update from the marketing team. Request the information in a meeting.
Simulation Role Play as a Character,Light Context,You are an influencer who wants higher compensation for a sponsored post. Negotiate with the brand.
Simulation Role Play as a Character,Light Context,You are a journalist interested in the company’s new sustainability initiative. Request an interview with the CEO.
Simulation Role Play as a Character,Light Context,You are a customer who wants to return a defective product. Ask about the return process.
Simulation Role Play as a Character,Light Context,You are a sales partner who needs updated product brochures. Request them from the marketing manager.
Simulation Role Play as a Character,Light Context,You are a new hire on the marketing team. Ask your manager about the company’s target audience.
Simulation Role Play as a Character,Light Context,You are a competitor impressed by a recent campaign. Compliment the team and ask about their creative process.
Simulation Role Play as a Character,Light Context,You are a customer who wants to know if there are any student discounts available. Ask the company representative.
Simulation Role Play as a Character,Light Context,You are a distributor interested in exclusive rights for your region. Write to the brand to start negotiations.
Simulation Role Play as a Character,Light Context,You are a social media follower who saw a giveaway post. Ask how to participate.
Simulation Role Play as a Character,Light Context,You are a partner interested in co-hosting an event. Reach out to the marketing team to discuss options.
Simulation Role Play as a Character,Light Context,You are a client asking for a detailed timeline for your upcoming campaign.
Simulation Role Play as a Character,Light Context,You are a blogger who wants to review the latest product. Request a media kit and sample.
Simulation Role Play as a Character,Light Context,You are a customer who wants to customize a product. Inquire about personalization options.
Simulation Role Play as a Character,Light Context,You are a sponsor who needs event attendance numbers for your records.
Simulation Role Play as a Character,Light Context,You are a customer who received excellent service. Write a testimonial for the brand.
Simulation Role Play as a Character,Light Context,You are a team member suggesting a new campaign idea to the marketing manager.
Simulation Role Play as a Character,Light Context,You are a competitor asking about the company’s approach to influencer marketing.
Simulation Role Play as a Character,Light Context,You are a client requesting a breakdown of the marketing budget for your project.
Simulation Role Play as a Character,Light Context,You are a customer asking if the brand uses eco-friendly packaging.
Simulation Role Play as a Character,Light Context,You are a retailer requesting promotional materials for an in-store display.
Simulation Role Play as a Character,Light Context,You are a press reporter asking about the inspiration behind a new campaign.
Simulation Role Play as a Character,Light Context,You are a customer asking for a bulk order discount.
Simulation Role Play as a Character,Light Context,You are a blogger interested in joining the affiliate program. Ask for more information.
Simulation Role Play as a Character,Light Context,You are a client who wants to know the expected ROI for a planned campaign.
Simulation Role Play as a Character,Light Context,You are a customer asking for the nearest store location.
Simulation Role Play as a Character,Light Context,You are a partner requesting a co-branded marketing event proposal.
Simulation Role Play as a Character,Full Context,You are a customer who ordered a personalized gift for a birthday party, but it arrived late and with the wrong name. Contact customer support to explain the issue and request a replacement before the event date.
Simulation Role Play as a Character,Full Context,You are a client whose campaign launch was delayed due to technical issues. Write to the agency expressing your frustration, asking for an updated timeline, and suggesting compensation for lost time.
Simulation Role Play as a Character,Full Context,You are the CEO of a retail chain who just received a quarterly marketing report that lacks key metrics. Request a revised report with specific data points and a meeting to discuss improvements.
Simulation Role Play as a Character,Full Context,You are an influencer with a large following in the beauty industry. You’ve been offered a collaboration, but the proposed compensation is below market rates. Write to the brand explaining your value and negotiating better terms.
Simulation Role Play as a Character,Full Context,You are a journalist covering sustainability in the fashion industry. You want to interview the CMO about the brand’s new eco-friendly line, and you need details for an article with a tight deadline.
Simulation Role Play as a Character,Full Context,You are a customer who attended a brand’s exclusive launch event and experienced poor service and long wait times. Write a detailed complaint and suggest how the brand can improve future events.
Simulation Role Play as a Character,Full Context,You are a partner retailer who received outdated promotional materials just before a major sale. Contact the brand to request updated materials and compensation for lost sales opportunities.
Simulation Role Play as a Character,Full Context,You are a new marketing manager at a SaaS company. You want to introduce a new campaign idea to the executive team, explaining its potential impact and requesting resources to implement it.
Simulation Role Play as a Character,Full Context,You are a customer interested in ordering a large quantity of branded merchandise for a corporate event. Request a quote, customization options, and information on delivery timelines.
Simulation Role Play as a Character,Full Context,You are a blogger who reviewed a tech gadget and found several flaws. Write to the brand with your honest feedback and ask how they plan to address these issues in future versions.
Simulation Role Play as a Character,Full Context,You are a distributor in Asia interested in exclusive distribution rights for a wellness product. Contact the brand to negotiate terms, discuss marketing support, and clarify territory restrictions.
Simulation Role Play as a Character,Full Context,You are a client who invested in a multi-channel campaign but feels the ROI is lower than expected. Request a detailed performance breakdown and a strategy session to improve future results.
Simulation Role Play as a Character,Full Context,You are a customer who received a damaged product and poor customer service. Write a complaint to the company’s head of marketing, requesting a refund and a gesture of goodwill.
Simulation Role Play as a Character,Full Context,You are a sponsor of a charity marathon and want a detailed report on event attendance, media coverage, and the impact of your sponsorship.
Simulation Role Play as a Character,Full Context,You are a competitor who admires your rival’s recent viral campaign. Reach out to congratulate them and ask about their creative inspiration, while subtly gathering market intelligence.
Simulation Role Play as a Character,Full Context,You are a retailer who wants to launch a joint in-store event with a popular brand. Propose the idea, outlining mutual benefits, marketing support, and suggested dates.
Simulation Role Play as a Character,Full Context,You are a press reporter writing a feature on innovative event marketing. Request an interview with the brand’s event manager and ask for case studies and results.
Simulation Role Play as a Character,Full Context,You are a customer who wants to know if your favorite brand’s new collection is ethically sourced. Ask detailed questions about materials, labor practices, and certifications.
Simulation Role Play as a Character,Full Context,You are a partner who wants to co-host a webinar with a leading SaaS company. Propose the topic, format, and promotional plan, and request a planning meeting.
Simulation Role Play as a Character,Full Context,You are a team member suggesting a radical new campaign idea during a strategy session. Present your idea, anticipate objections, and defend its potential impact.
