Type,Context Level,Question
Summary,Full Context,ทีม marketing ได้รับ survey feedback จาก target group กลุ่มวัยรุ่นเกี่ยวกับ online learning platform ขอให้สรุป pain point, จุดแข็ง, และข้อเสนอแนะหลัก
Summary,Full Context,บริษัท fashion ได้จัด campaign ร่วมกับ influencer 5 คน พร้อมเก็บ data engagement, reach, และ sentiment analysis ช่วยสรุปภาพรวมผลลัพธ์และ insight ที่ได้
Summary,Full Context,ทีม creative ได้ brainstorm concept ใหม่สำหรับ seasonal campaign โดยมีโจทย์เรื่อง sustainability, playful, และต้อง align กับ brand value ช่วยสรุปไอเดียหลักและข้อเสนอแนะ
Summary,Full Context,ทีม PR ได้จัด media interview กับ CEO ของบริษัท tech เรื่อง future trend และ brand vision ช่วยสรุปเนื้อหาสำคัญเป็น 5 ข้อ
Summary,Full Context,ทีม content ได้รับ customer feedback ผ่าน LINE OA, Facebook, และ email สำหรับสินค้า FMCG ใหม่ ขอให้สรุป insight จากทุกช่องทางและแนะนำ next step
Summary,Full Context,บริษัทอสังหาฯ ได้จัด event เปิดตัวโครงการใหม่ โดยมี press coverage, influencer review, และ customer feedback ช่วยสรุปผลลัพธ์และข้อเสนอแนะสำหรับ improvement
Summary,Full Context,ทีม marketing ของบริษัท tech เพิ่งจบ webinar สำหรับกลุ่มเป้าหมาย B2B ขอให้สรุป key takeaway, pain point, และข้อเสนอแนะจาก Q&A session
Summary,Full Context,ทีม creative ได้เสนอ 3 concept สำหรับ fashion campaign ใหม่ โดยแต่ละ concept เน้น value proposition ต่างกัน ช่วยสรุปข้อดีข้อเสียของแต่ละแนวทาง
Summary,Full Context,ทีม PR ได้รับ feedback จาก media และ blogger หลังจบ press trip ขอให้สรุป insight, highlight, และข้อเสนอแนะสำหรับ campaign หน้า
Summary,Full Context,บริษัท education tech ได้รับ survey result จากนักเรียนและผู้ปกครองหลังใช้ platform ใหม่ ช่วยสรุป pain point, จุดแข็ง, และข้อเสนอแนะ
Summary,Full Context,ทีม marketing ได้จัด campaign online/offline สำหรับสินค้า FMCG โดยมี data engagement, sales, และ customer review ช่วยสรุปผลลัพธ์และ insight
Summary,Full Context,ทีม content ได้รับ feedback จากผู้ใช้ LINE OA เกี่ยวกับโปรโมชั่น flash sale ช่วยสรุป key insight และข้อเสนอแนะสำหรับ improvement
Summary,Full Context,บริษัทอสังหาฯ ได้จัดงานเปิดตัวคอนโด luxury โดยมี press, influencer, และลูกค้ากลุ่มเป้าหมายเข้าร่วม ช่วยสรุปผลลัพธ์, feedback, และข้อเสนอแนะ
Summary,Full Context,ทีม creative ได้ brainstorm idea สำหรับ CSR campaign โดยต้อง align กับ brand value และเน้น sustainability ช่วยสรุปแนวทางหลักและข้อเสนอแนะ
Summary,Full Context,ทีม PR ได้สัมภาษณ์ CEO บริษัท tech เรื่อง innovation, brand vision, และ market trend ขอให้สรุป key message สำหรับใช้ใน media kit
Summary,Full Context,ทีม content ได้รับ customer complaint ผ่าน social media สำหรับสินค้า fashion ใหม่ ช่วยสรุป pain point และแนะนำ action plan
Summary,Full Context,บริษัท FMCG ได้จัด campaign ร่วมกับ partner agency โดยมี data KPI, ROI, และ feedback ช่วยสรุปภาพรวมและ insight
Summary,Full Context,ทีม marketing ได้รับผลการทดสอบสินค้า tech จาก user group 3 กลุ่ม ช่วยสรุปข้อดีข้อเสียและแนะนำ improvement
Summary,Full Context,ทีม creative ได้รับ feedback จาก influencer ที่ร่วมงานใน campaign ล่าสุด ช่วยสรุป insight และข้อเสนอแนะสำหรับ collaboration หน้า
Summary,Full Context,บริษัทอสังหาฯ ได้จัด press conference สำหรับเปิดตัวโครงการใหม่ ช่วยสรุปเนื้อหา, Q&A, และข้อเสนอแนะจากสื่อ
Summary,Full Context,ทีม PR ได้รับ feedback จาก blogger หลังจบ press trip ขอให้สรุป insight, highlight, และข้อเสนอแนะสำหรับ campaign หน้า
Summary,Full Context,ทีม content ได้รับ customer feedback ผ่าน LINE OA, Facebook, และ email สำหรับสินค้า FMCG ใหม่ ขอให้สรุป insight จากทุกช่องทางและแนะนำ next step
Summary,Full Context,บริษัท fashion ได้จัด campaign ร่วมกับ influencer 5 คน พร้อมเก็บ data engagement, reach, และ sentiment analysis ช่วยสรุปภาพรวมผลลัพธ์และ insight ที่ได้
Summary,Full Context,ทีม creative ได้ brainstorm concept ใหม่สำหรับ seasonal campaign โดยมีโจทย์เรื่อง sustainability, playful, และต้อง align กับ brand value ช่วยสรุปไอเดียหลักและข้อเสนอแนะ
Summary,Full Context,ทีม PR ได้จัด media interview กับ CEO ของบริษัท tech เรื่อง future trend และ brand vision ช่วยสรุปเนื้อหาสำคัญเป็น 5 ข้อ
Summary,Full Context,ทีม marketing ได้รับ survey feedback จาก target group กลุ่มวัยรุ่นเกี่ยวกับ online learning platform ขอให้สรุป pain point, จุดแข็ง, และข้อเสนอแนะหลัก
Paraphrase,Without Context,Paraphrase ข้อความนี้ให้ดู friendly มากขึ้นสำหรับ social post
Paraphrase,Without Context,ช่วย rewrite product description ให้ดู premium และน่าเชื่อถือขึ้น
Paraphrase,Without Context,Paraphrase ข้อความขอบคุณลูกค้าให้เหมาะกับ email marketing
Paraphrase,Without Context,ช่วย reword press release นี้ให้สั้น กระชับ และเป็นกันเอง
Paraphrase,Without Context,เขียน caption ใหม่สำหรับโพสต์ Facebook ที่เน้น playful tone
Paraphrase,Without Context,Paraphrase ข้อความใน announcement ให้ดูเป็นทางการมากขึ้น
Paraphrase,Without Context,ช่วย reword product review ให้เหมาะกับใช้ใน Instagram story
Paraphrase,Without Context,Paraphrase ข้อความใน email แจ้งโปรโมชั่นให้ดูอบอุ่น
Paraphrase,Without Context,ช่วย rewrite ข้อความใน internal memo ให้เข้าใจง่ายขึ้น
Paraphrase,Without Context,Paraphrase คำเชิญเข้าร่วม event ให้ดูเป็นกันเอง
Paraphrase,Without Context,ช่วย rewrite copy ใน banner ad ให้ creative ขึ้น
Paraphrase,Without Context,Paraphrase ข้อความใน campaign brief ให้เหมาะกับกลุ่มเป้าหมายวัยรุ่น
Paraphrase,Without Context,ช่วย reword thank you note สำหรับลูกค้ากลุ่ม B2B
Paraphrase,Without Context,Paraphrase ข้อความใน press release ให้เหมาะกับใช้ใน LinkedIn
Paraphrase,Without Context,ช่วย rewrite FAQ ให้สั้น กระชับ และเข้าใจง่าย
Paraphrase,Without Context,Paraphrase ข้อความใน customer testimonial ให้ดูน่าเชื่อถือขึ้น
Paraphrase,Without Context,ช่วย reword product announcement ให้เหมาะกับใช้ใน LINE OA
Paraphrase,Without Context,Paraphrase คำขอโทษใน email ให้ดูใส่ใจลูกค้า
Paraphrase,Without Context,ช่วย rewrite campaign slogan ให้ playful มากขึ้น
Paraphrase,Without Context,Paraphrase ข้อความใน internal announcement ให้ดูเป็นมืออาชีพ
Paraphrase,Without Context,ช่วย reword press release สำหรับสินค้า tech ให้ดู innovative
Paraphrase,Without Context,Paraphrase ข้อความใน product launch ให้เหมาะกับใช้ใน Facebook
Paraphrase,Without Context,ช่วย rewrite thank you letter ให้ดูอบอุ่น
Paraphrase,Without Context,Paraphrase ข้อความใน email แจ้งโปรโมชั่นให้ดู exclusive
Paraphrase,Without Context,ช่วย reword product description สำหรับสินค้า fashion ให้ดู luxury
Paraphrase,Without Context,Paraphrase ข้อความใน campaign announcement ให้ดูสั้น กระชับ
Paraphrase,Without Context,ช่วย rewrite ข้อความใน press release ให้เหมาะกับใช้ใน media kit
Paraphrase,Without Context,Paraphrase ข้อความใน customer review ให้เหมาะกับใช้ใน social post
Paraphrase,Without Context,ช่วย reword caption สำหรับ Instagram ให้ดู creative
Paraphrase,Light Context,ข้อความใน campaign brief นี้ดูเป็นทางการเกินไป ช่วย paraphrase ให้เหมาะกับกลุ่มเป้าหมายวัยรุ่น
Paraphrase,Light Context,เราต้องการปรับ copy ใน banner ad ให้ดู creative และดึงดูดสายตามากขึ้น ช่วย rewrite ให้หน่อย
Paraphrase,Light Context,ขอ paraphrase ข้อความใน email แจ้งโปรโมชั่น ให้ดูอบอุ่นและเป็นกันเองมากขึ้น
Paraphrase,Light Context,ช่วย rewrite product review ให้เหมาะกับใช้ใน Instagram story
Paraphrase,Light Context,ขอ paraphrase ข้อความใน internal memo ให้ดูสั้นและเข้าใจง่ายขึ้นสำหรับทีมงาน
Paraphrase,Light Context,ช่วย rewrite thank you note สำหรับลูกค้า B2B ให้ดูเป็นทางการ
Paraphrase,Light Context,ขอ paraphrase ข้อความใน press release ให้เป็น friendly tone สำหรับ Facebook post
Paraphrase,Light Context,ช่วย rewrite product announcement ให้เหมาะกับใช้ใน LINE OA
Paraphrase,Light Context,ขอ paraphrase ข้อความใน campaign announcement ให้ playful มากขึ้น
Paraphrase,Light Context,ช่วย rewrite FAQ ให้เหมาะกับใช้ใน email newsletter
Paraphrase,Light Context,ขอ paraphrase ข้อความใน thank you letter ให้ดูอบอุ่น
Paraphrase,Light Context,ช่วย rewrite copy ใน banner ad ให้เหมาะกับสินค้า fashion
Paraphrase,Light Context,ขอ paraphrase ข้อความใน product description ให้ดู luxury
Paraphrase,Light Context,ช่วย rewrite press release สำหรับสินค้า tech ให้ดู innovative
Paraphrase,Light Context,ขอ paraphrase ข้อความใน product launch ให้เหมาะกับใช้ใน Facebook
Paraphrase,Light Context,ช่วย rewrite thank you note สำหรับลูกค้ากลุ่ม B2B
Paraphrase,Light Context,ขอ paraphrase ข้อความใน campaign brief ให้เหมาะกับกลุ่มเป้าหมายวัยรุ่น
Paraphrase,Light Context,ช่วย rewrite product review ให้เหมาะกับใช้ใน Instagram story
Paraphrase,Light Context,ขอ paraphrase ข้อความใน email แจ้งโปรโมชั่น ให้ดู exclusive
Paraphrase,Light Context,ช่วย rewrite product description สำหรับสินค้า fashion ให้ดู luxury
Paraphrase,Light Context,ขอ paraphrase ข้อความใน campaign announcement ให้ดูสั้น กระชับ
Paraphrase,Light Context,ช่วย rewrite ข้อความใน press release ให้เหมาะกับใช้ใน media kit
Paraphrase,Light Context,ขอ paraphrase ข้อความใน customer review ให้เหมาะกับใช้ใน social post
Paraphrase,Light Context,ช่วย rewrite caption สำหรับ Instagram ให้ดู creative
Paraphrase,Light Context,ขอ paraphrase ข้อความใน thank you letter ให้ดูอบอุ่น
Paraphrase,Full Context,บริษัท fashion ต้องการปรับ product description สำหรับสินค้า limited edition ให้ดู luxury, creative, และ align กับ brand DNA ช่วย rewrite ให้ครบทุกจุดสำคัญ
Paraphrase,Full Context,ทีม marketing ได้รับ customer complaint ทาง social media ที่ใช้ถ้อยคำแรง ต้องการ paraphrase คำตอบให้ดูสุภาพ, ใส่ใจลูกค้า, และยังรักษา brand tone
Paraphrase,Full Context,บริษัท tech ต้องการ rewrite press release เดิมให้เหมาะกับใช้ใน LinkedIn โดยเน้น professional tone, concise, และใส่ keyword ด้าน innovation
Paraphrase,Full Context,ทีม content มีบทความยาวสำหรับ SEO แต่ต้องการ paraphrase ให้สั้นลงสำหรับใช้ใน email newsletter
Paraphrase,Full Context,ทีม PR ได้รับ interview transcript ของ CEO ที่พูดยาวมาก ต้องการ paraphrase ให้เป็น quote เด็ดๆ สำหรับใช้ใน media kit
Paraphrase,Full Context,บริษัท FMCG ต้องการ rewrite ข้อความใน campaign announcement ให้เหมาะกับใช้ใน LINE OA, Facebook, และ email โดยต้อง align กับ brand tone
Paraphrase,Full Context,ทีม creative ได้รับ feedback จากลูกค้า B2B เรื่อง product description ที่ดู technical เกินไป ต้องการ paraphrase ให้เข้าใจง่ายและดู friendly
Paraphrase,Full Context,บริษัทอสังหาฯ ต้องการ rewrite thank you letter สำหรับลูกค้าที่ซื้อบ้านใหม่ให้ดูอบอุ่นและเป็นกันเอง
Paraphrase,Full Context,ทีม marketing ได้รับ customer complaint เรื่องบริการ delivery ต้องการ paraphrase คำตอบให้สุภาพและใส่ใจลูกค้า
Paraphrase,Full Context,บริษัท tech ต้องการ rewrite product review จาก influencer ให้เหมาะกับใช้ใน Instagram story และ Facebook post
Paraphrase,Full Context,ทีม content มีบทความยาวสำหรับ SEO แต่ต้องการ paraphrase ให้สั้นลงสำหรับใช้ใน email newsletter
Paraphrase,Full Context,บริษัท fashion ต้องการปรับ product description สำหรับสินค้า limited edition ให้ดู luxury, creative, และ align กับ brand DNA ช่วย rewrite ให้ครบทุกจุดสำคัญ
Paraphrase,Full Context,ทีม marketing ได้รับ customer complaint ทาง social media ที่ใช้ถ้อยคำแรง ต้องการ paraphrase คำตอบให้ดูสุภาพ, ใส่ใจลูกค้า, และยังรักษา brand tone
Paraphrase,Full Context,บริษัท tech ต้องการ rewrite press release เดิมให้เหมาะกับใช้ใน LinkedIn โดยเน้น professional tone, concise, และใส่ keyword ด้าน innovation
Paraphrase,Full Context,ทีม PR ได้รับ interview transcript ของ CEO ที่พูดยาวมาก ต้องการ paraphrase ให้เป็น quote เด็ดๆ สำหรับใช้ใน media kit
Paraphrase,Full Context,บริษัท FMCG ต้องการ rewrite ข้อความใน campaign announcement ให้เหมาะกับใช้ใน LINE OA, Facebook, และ email โดยต้อง align กับ brand tone
Paraphrase,Full Context,ทีม creative ได้รับ feedback จากลูกค้า B2B เรื่อง product description ที่ดู technical เกินไป ต้องการ paraphrase ให้เข้าใจง่ายและดู friendly
Paraphrase,Full Context,บริษัทอสังหาฯ ต้องการ rewrite thank you letter สำหรับลูกค้าที่ซื้อบ้านใหม่ให้ดูอบอุ่นและเป็นกันเอง
Paraphrase,Full Context,ทีม marketing ได้รับ customer complaint เรื่องบริการ delivery ต้องการ paraphrase คำตอบให้สุภาพและใส่ใจลูกค้า
Paraphrase,Full Context,บริษัท tech ต้องการ rewrite product review จาก influencer ให้เหมาะกับใช้ใน Instagram story และ Facebook post
Simulation Role Play as a Character,Without Context,สมมติว่าคุณเป็นลูกค้า ถามเรื่องโปรโมชั่นใหม่ของแบรนด์ fashion
Simulation Role Play as a Character,Without Context,Act as a client ขอสอบถาม timeline ของ campaign rollout
Simulation Role Play as a Character,Without Context,สมมติว่าคุณเป็น influencer ขอข้อมูลเกี่ยวกับ product collaboration
